# 
# This is data from Figure 6, Lawrence et al., 2022, submitted.
#        MAPLON        MAPLAT          HMAP
      59.25000     -89.75000      90.65625
      59.75000     -89.75000      90.57678
      60.25000     -89.75000      90.53656
      60.75000     -89.75000      90.45850
      61.25000     -89.75000      90.41956
      61.75000     -89.75000      90.38068
      62.25000     -89.75000      90.30249
      62.75000     -89.75000      90.26355
      63.25000     -89.75000      90.18805
      63.75000     -89.75000      90.14905
      64.25000     -89.75000      90.07489
      64.75000     -89.75000      90.03723
      65.25000     -89.75000      89.99957
      65.75000     -89.75000      89.92676
      66.25000     -89.75000      89.88916
      66.75000     -89.75000      89.81750
      67.25000     -89.75000      89.78119
      67.75000     -89.75000      89.70953
      68.25000     -89.75000      89.67456
      68.75000     -89.75000      89.63953
      69.25000     -89.75000      89.57050
      69.75000     -89.75000      89.53680
      70.25000     -89.75000      89.46777
      70.75000     -89.75000      89.43402
      71.25000     -89.75000      89.40155
      71.75000     -89.75000      89.33521
      72.25000     -89.75000      89.30273
      72.75000     -89.75000      89.23761
      73.25000     -89.75000      89.20648
      73.75000     -89.75000      89.14398
      74.25000     -89.75000      89.11292
      74.75000     -89.75000      89.08179
      75.25000     -89.75000      89.02051
      75.75000     -89.75000      88.99066
      76.25000     -89.75000      88.93219
      76.75000     -89.75000      88.90363
      77.25000     -89.75000      88.84497
      77.75000     -89.75000      88.81775
      78.25000     -89.75000      88.78925
      78.75000     -89.75000      88.73462
      79.25000     -89.75000      88.70740
      79.75000     -89.75000      88.65399
      80.25000     -89.75000      88.62799
      80.75000     -89.75000      88.60205
      81.25000     -89.75000      88.55127
      81.75000     -89.75000      88.52667
      82.25000     -89.75000      88.47717
      82.75000     -89.75000      88.45392
      83.25000     -89.75000      88.40570
      83.75000     -89.75000      88.38379
      84.25000     -89.75000      88.36029
      84.75000     -89.75000      88.31610
      85.25000     -89.75000      88.29407
      85.75000     -89.75000      88.25116
      86.25000     -89.75000      88.23041
      86.75000     -89.75000      88.19012
      87.25000     -89.75000      88.16937
      87.75000     -89.75000      88.14990
      88.25000     -89.75000      88.11218
      88.75000     -89.75000      88.09271
      89.25000     -89.75000      88.05768
      89.75000     -89.75000      88.03937
      90.25000     -89.75000      88.00433
      90.75000     -89.75000      87.98871
      91.25000     -89.75000      87.97186
      91.75000     -89.75000      87.94067
      92.25000     -89.75000      87.92523
      92.75000     -89.75000      87.89539
      93.25000     -89.75000      87.88098
      93.75000     -89.75000      87.86682
      94.25000     -89.75000      87.83942
      94.75000     -89.75000      87.82532
      95.25000     -89.75000      87.80060
      95.75000     -89.75000      87.78894
      96.25000     -89.75000      87.76428
      96.75000     -89.75000      87.75391
      97.25000     -89.75000      87.74225
      97.75000     -89.75000      87.72144
      98.25000     -89.75000      87.71240
      98.75000     -89.75000      87.69293
      99.25000     -89.75000      87.68390
      99.75000     -89.75000      87.66699
      100.2500     -89.75000      87.65790
      100.7500     -89.75000      87.65027
      101.2500     -89.75000      87.63599
      101.7500     -89.75000      87.62817
      102.2500     -89.75000      87.61523
      102.7500     -89.75000      87.61005
      103.2500     -89.75000      87.60364
      103.7500     -89.75000      87.59320
      104.2500     -89.75000      87.58807
      104.7500     -89.75000      87.57898
      105.2500     -89.75000      87.57520
      105.7500     -89.75000      87.56860
      106.2500     -89.75000      87.56494
      106.7500     -89.75000      87.56232
      107.2500     -89.75000      87.55713
      107.7500     -89.75000      87.55585
      108.2500     -89.75000      87.55200
      108.7500     -89.75000      87.55066
      109.2500     -89.75000      87.54822
      109.7500     -89.75000      87.54822
      110.2500     -89.75000      87.54828
      110.7500     -89.75000      87.54828
      111.2500     -89.75000      87.54834
      111.7500     -89.75000      87.55090
      112.2500     -89.75000      87.55096
